experiment_dna_short_read_id	read_length	target_insert_size	sequencing_platform	targeted_region_bed_file	targeted_regions_method	seq_library_prep_kit_method	date_data_generation	analyte_id	experiment_sample_id	sequencing_event_details	experiment_type
PMGRC-116-116-0_LS3516164_SQ6098	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516164	PMGRC-116-116-0_LS3516164_SQ6098	NA	genome
PMGRC-12-11-2_LS3516165_SQ6099	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516165	PMGRC-12-11-2_LS3516165_SQ6099	NA	genome
PMGRC-139-11-1_LS3516166_SQ6100	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516166	PMGRC-139-11-1_LS3516166_SQ6100	NA	genome
PMGRC-11-11-0_LS3516167_SQ6101	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516167	PMGRC-11-11-0_LS3516167_SQ6101	NA	genome
PMGRC-130-130-0_LS3516168_SQ6102	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516168	PMGRC-130-130-0_LS3516168_SQ6102	NA	genome
PMGRC-147-146-2_LS3516169_SQ6103	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516169	PMGRC-147-146-2_LS3516169_SQ6103	NA	genome
PMGRC-146-146-0_LS3516170_SQ6104	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516170	PMGRC-146-146-0_LS3516170_SQ6104	NA	genome
PMGRC-157-146-1_LS3516171_SQ6105	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516171	PMGRC-157-146-1_LS3516171_SQ6105	NA	genome
PMGRC-86-86-0_LS3516172_SQ6106	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516172	PMGRC-86-86-0_LS3516172_SQ6106	NA	genome
PMGRC-85-86-1_LS3516173_SQ6125	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516173	PMGRC-85-86-1_LS3516173_SQ6125	NA	genome
PMGRC-126-125-2_LS3516174_SQ6126	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516174	PMGRC-126-125-2_LS3516174_SQ6126	NA	genome
PMGRC-80-86-2_LS3516175_SQ6061	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516175	PMGRC-80-86-2_LS3516175_SQ6061	NA	genome
PMGRC-131-131-0_LS3516176_SQ6062	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516176	PMGRC-131-131-0_LS3516176_SQ6062	NA	genome
PMGRC-132-131-2_LS3516177_SQ6063	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516177	PMGRC-132-131-2_LS3516177_SQ6063	NA	genome
PMGRC-133-131-1_LS3516178_SQ6064	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516178	PMGRC-133-131-1_LS3516178_SQ6064	NA	genome
PMGRC-3-3-0_LS3516179_SQ6065	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516179	PMGRC-3-3-0_LS3516179_SQ6065	NA	genome
PMGRC-4-3-2_LS3516180_SQ6066	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516180	PMGRC-4-3-2_LS3516180_SQ6066	NA	genome
PMGRC-50-48-1_LS3516181_SQ6067	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516181	PMGRC-50-48-1_LS3516181_SQ6067	NA	genome
PMGRC-44-43-2_LS3516182_SQ6068	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516182	PMGRC-44-43-2_LS3516182_SQ6068	NA	genome
PMGRC-43-43-0_LS3516183_SQ6069	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516183	PMGRC-43-43-0_LS3516183_SQ6069	NA	genome
PMGRC-45-43-1_LS3516184_SQ6070	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516184	PMGRC-45-43-1_LS3516184_SQ6070	NA	genome
PMGRC-70-68-1_LS3516185_SQ6071	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516185	PMGRC-70-68-1_LS3516185_SQ6071	NA	genome
PMGRC-69-68-2_LS3516186_SQ6072	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516186	PMGRC-69-68-2_LS3516186_SQ6072	NA	genome
PMGRC-68-68-0_LS3516187_SQ6073	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516187	PMGRC-68-68-0_LS3516187_SQ6073	NA	genome
PMGRC-149-148-2_LS3516188_SQ6074	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516188	PMGRC-149-148-2_LS3516188_SQ6074	NA	genome
PMGRC-150-148-1_LS3516189_SQ6075	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516189	PMGRC-150-148-1_LS3516189_SQ6075	NA	genome
PMGRC-148-148-0_LS3516190_SQ6076	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516190	PMGRC-148-148-0_LS3516190_SQ6076	NA	genome
PMGRC-168-167-2_LS3516191_SQ6077	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516191	PMGRC-168-167-2_LS3516191_SQ6077	NA	genome
PMGRC-169-167-1_LS3516192_SQ6078	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516192	PMGRC-169-167-1_LS3516192_SQ6078	NA	genome
PMGRC-167-167-0_LS3516193_SQ6079	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516193	PMGRC-167-167-0_LS3516193_SQ6079	NA	genome
PMGRC-13-13-0_LS3516194_SQ6080	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516194	PMGRC-13-13-0_LS3516194_SQ6080	NA	genome
PMGRC-166-164-1_LS3516195_SQ6081	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516195	PMGRC-166-164-1_LS3516195_SQ6081	NA	genome
PMGRC-81-81-0_LS3516196_SQ6082	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516196	PMGRC-81-81-0_LS3516196_SQ6082	NA	genome
PMGRC-206-206-0_LS3516197_SQ6127	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516197	PMGRC-206-206-0_LS3516197_SQ6127	NA	genome
PMGRC-207-206-2_LS3516198_SQ6128	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516198	PMGRC-207-206-2_LS3516198_SQ6128	NA	genome
PMGRC-164-164-0_LS3516199_SQ6037	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516199	PMGRC-164-164-0_LS3516199_SQ6037	NA	genome
PMGRC-165-164-2_LS3516200_SQ6038	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516200	PMGRC-165-164-2_LS3516200_SQ6038	NA	genome
PMGRC-229-194-1_LS3516201_SQ6039	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516201	PMGRC-229-194-1_LS3516201_SQ6039	NA	genome
PMGRC-218-81-2_LS3516202_SQ6040	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516202	PMGRC-218-81-2_LS3516202_SQ6040	NA	genome
PMGRC-48-48-0_LS3516203_SQ6041	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516203	PMGRC-48-48-0_LS3516203_SQ6041	NA	genome
PMGRC-49-48-2_LS3516204_SQ6042	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516204	PMGRC-49-48-2_LS3516204_SQ6042	NA	genome
PMGRC-194-194-0_LS3516205_SQ6043	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516205	PMGRC-194-194-0_LS3516205_SQ6043	NA	genome
PMGRC-7-5-2_LS3516206_SQ6044	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516206	PMGRC-7-5-2_LS3516206_SQ6044	NA	genome
PMGRC-5-5-0_LS3516207_SQ6045	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516207	PMGRC-5-5-0_LS3516207_SQ6045	NA	genome
PMGRC-6-5-1_LS3516208_SQ6046	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516208	PMGRC-6-5-1_LS3516208_SQ6046	NA	genome
PMGRC-79-79-0_LS3516209_SQ6047	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516209	PMGRC-79-79-0_LS3516209_SQ6047	NA	genome
PMGRC-230-79-1_LS3516210_SQ6048	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516210	PMGRC-230-79-1_LS3516210_SQ6048	NA	genome
PMGRC-234-234-0_LS3516212_SQ6050	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516212	PMGRC-234-234-0_LS3516212_SQ6050	NA	genome
PMGRC-209-209-0_LS3516213_SQ6051	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516213	PMGRC-209-209-0_LS3516213_SQ6051	NA	genome
PMGRC-208-209-1_LS3516214_SQ6052	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516214	PMGRC-208-209-1_LS3516214_SQ6052	NA	genome
PMGRC-128-116-1_LS3516215_SQ6053	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516215	PMGRC-128-116-1_LS3516215_SQ6053	NA	genome
PMGRC-84-82-1_LS3516216_SQ6054	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516216	PMGRC-84-82-1_LS3516216_SQ6054	NA	genome
PMGRC-83-82-2_LS3516217_SQ6055	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516217	PMGRC-83-82-2_LS3516217_SQ6055	NA	genome
PMGRC-82-82-0_LS3516218_SQ6056	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516218	PMGRC-82-82-0_LS3516218_SQ6056	NA	genome
PMGRC-135-107-1_LS3516219_SQ6057	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516219	PMGRC-135-107-1_LS3516219_SQ6057	NA	genome
PMGRC-107-107-0_LS3516220_SQ6058	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-04-20	LS3516220	PMGRC-107-107-0_LS3516220_SQ6058	NA	genome
PMGRC-111-107-2_LS3516221_SQ6129	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516221	PMGRC-111-107-2_LS3516221_SQ6129	NA	genome
PMGRC-47-46-2_LS3516222_SQ6130	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516222	PMGRC-47-46-2_LS3516222_SQ6130	NA	genome
PMGRC-46-46-0_LS3516223_SQ6109	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516223	PMGRC-46-46-0_LS3516223_SQ6109	NA	genome
PMGRC-241-32-1_LS3516224_SQ6110	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516224	PMGRC-241-32-1_LS3516224_SQ6110	NA	genome
PMGRC-32-32-0_LS3516225_SQ6111	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516225	PMGRC-32-32-0_LS3516225_SQ6111	NA	genome
PMGRC-31-32-2_LS3516226_SQ6112	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516226	PMGRC-31-32-2_LS3516226_SQ6112	NA	genome
PMGRC-59-60-3_LS3516227_SQ6113	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516227	PMGRC-59-60-3_LS3516227_SQ6113	NA	genome
PMGRC-60-60-0_LS3516228_SQ6114	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516228	PMGRC-60-60-0_LS3516228_SQ6114	NA	genome
PMGRC-61-60-3_LS3516229_SQ6115	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516229	PMGRC-61-60-3_LS3516229_SQ6115	NA	genome
PMGRC-62-60-3_LS3516230_SQ6116	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516230	PMGRC-62-60-3_LS3516230_SQ6116	NA	genome
PMGRC-63-60-2_LS3516231_SQ6117	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516231	PMGRC-63-60-2_LS3516231_SQ6117	NA	genome
PMGRC-64-60-1_LS3516232_SQ6118	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516232	PMGRC-64-60-1_LS3516232_SQ6118	NA	genome
PMGRC-108-108-0_LS3516233_SQ6119	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516233	PMGRC-108-108-0_LS3516233_SQ6119	NA	genome
PMGRC-109-108-2_LS3516234_SQ6120	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516234	PMGRC-109-108-2_LS3516234_SQ6120	NA	genome
PMGRC-110-108-1_LS3516235_SQ6121	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516235	PMGRC-110-108-1_LS3516235_SQ6121	NA	genome
PMGRC-226-226-0_LS3516236_SQ6122	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516236	PMGRC-226-226-0_LS3516236_SQ6122	NA	genome
PMGRC-227-226-2_LS3516237_SQ6123	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516237	PMGRC-227-226-2_LS3516237_SQ6123	NA	genome
PMGRC-52-52-0_LS3516238_SQ6124	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-26	LS3516238	PMGRC-52-52-0_LS3516238_SQ6124	NA	genome
PMGRC-186-186-0_LS3516239_SQ6076	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-09-22	LS3516239	PMGRC-186-186-0_LS3516239_SQ6076	NA	genome
PMGRC-265-265-0_LS3762941_SQ6085	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762941	PMGRC-265-265-0_LS3762941_SQ6085	NA	genome
PMGRC-240-240-0_LS3762942_SQ6086	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762942	PMGRC-240-240-0_LS3762942_SQ6086	NA	genome
PMGRC-122-122-0_LS3762943_SQ6087	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762943	PMGRC-122-122-0_LS3762943_SQ6087	NA	genome
PMGRC-123-122-1_LS3762944_SQ6088	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762944	PMGRC-123-122-1_LS3762944_SQ6088	NA	genome
PMGRC-239-239-0_LS3762945_SQ6089	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762945	PMGRC-239-239-0_LS3762945_SQ6089	NA	genome
PMGRC-285-284-1_LS3762946_SQ6090	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762946	PMGRC-285-284-1_LS3762946_SQ6090	NA	genome
PMGRC-286-284-2_LS3762947_SQ6091	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762947	PMGRC-286-284-2_LS3762947_SQ6091	NA	genome
PMGRC-284-284-0_LS3762948_SQ6092	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762948	PMGRC-284-284-0_LS3762948_SQ6092	NA	genome
PMGRC-121-122-2_LS3762949_SQ6093	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762949	PMGRC-121-122-2_LS3762949_SQ6093	NA	genome
PMGRC-249-248-2_LS3762950_SQ6094	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762950	PMGRC-249-248-2_LS3762950_SQ6094	NA	genome
PMGRC-248-248-0_LS3762951_SQ6095	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762951	PMGRC-248-248-0_LS3762951_SQ6095	NA	genome
PMGRC-290-289-1_LS3762952_SQ6096	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762952	PMGRC-290-289-1_LS3762952_SQ6096	NA	genome
PMGRC-289-289-0_LS3762953_SQ6097	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762953	PMGRC-289-289-0_LS3762953_SQ6097	NA	genome
PMGRC-295-294-2_LS3762954_SQ6098	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762954	PMGRC-295-294-2_LS3762954_SQ6098	NA	genome
PMGRC-294-294-0_LS3762955_SQ6099	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762955	PMGRC-294-294-0_LS3762955_SQ6099	NA	genome
PMGRC-279-279-0_LS3762956_SQ6100	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762956	PMGRC-279-279-0_LS3762956_SQ6100	NA	genome
PMGRC-283-279-1_LS3762957_SQ6101	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762957	PMGRC-283-279-1_LS3762957_SQ6101	NA	genome
PMGRC-282-279-2_LS3762958_SQ6102	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762958	PMGRC-282-279-2_LS3762958_SQ6102	NA	genome
PMGRC-193-191-1_LS3762959_SQ6103	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762959	PMGRC-193-191-1_LS3762959_SQ6103	NA	genome
PMGRC-191-191-0_LS3762960_SQ6104	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762960	PMGRC-191-191-0_LS3762960_SQ6104	NA	genome
PMGRC-300-299-2_LS3762961_SQ6105	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762961	PMGRC-300-299-2_LS3762961_SQ6105	NA	genome
PMGRC-299-299-0_LS3762962_SQ6106	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-06	LS3762962	PMGRC-299-299-0_LS3762962_SQ6106	NA	genome
PMGRC-192-191-2_LS3762963_SQ6077	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-09-22	LS3762963	PMGRC-192-191-2_LS3762963_SQ6077	NA	genome
PMGRC-175-175-0_LS3762964_SQ6078	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-09-22	LS3762964	PMGRC-175-175-0_LS3762964_SQ6078	NA	genome
PMGRC-174-175-2_LS3762965_SQ6085	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762965	PMGRC-174-175-2_LS3762965_SQ6085	NA	genome
PMGRC-173-175-1_LS3762966_SQ6086	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762966	PMGRC-173-175-1_LS3762966_SQ6086	NA	genome
PMGRC-221-220-2_LS3762967_SQ6087	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762967	PMGRC-221-220-2_LS3762967_SQ6087	NA	genome
PMGRC-196-195-3_LS3762968_SQ6088	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762968	PMGRC-196-195-3_LS3762968_SQ6088	NA	genome
PMGRC-198-195-1_LS3762969_SQ6089	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762969	PMGRC-198-195-1_LS3762969_SQ6089	NA	genome
PMGRC-197-195-2_LS3762970_SQ6090	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762970	PMGRC-197-195-2_LS3762970_SQ6090	NA	genome
PMGRC-195-195-0_LS3762971_SQ6091	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762971	PMGRC-195-195-0_LS3762971_SQ6091	NA	genome
PMGRC-37-39-2_LS3762972_SQ6092	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762972	PMGRC-37-39-2_LS3762972_SQ6092	NA	genome
PMGRC-333-333-0_LS3762973_SQ6093	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762973	PMGRC-333-333-0_LS3762973_SQ6093	NA	genome
PMGRC-39-39-0_LS3762974_SQ6094	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762974	PMGRC-39-39-0_LS3762974_SQ6094	NA	genome
PMGRC-38-39-1_LS3762975_SQ6095	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762975	PMGRC-38-39-1_LS3762975_SQ6095	NA	genome
PMGRC-298-296-1_LS3762976_SQ6096	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762976	PMGRC-298-296-1_LS3762976_SQ6096	NA	genome
PMGRC-55-53-1_LS3762977_SQ6097	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762977	PMGRC-55-53-1_LS3762977_SQ6097	NA	genome
PMGRC-57-53-2_LS3762978_SQ6098	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762978	PMGRC-57-53-2_LS3762978_SQ6098	NA	genome
PMGRC-53-53-0_LS3762979_SQ6099	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762979	PMGRC-53-53-0_LS3762979_SQ6099	NA	genome
PMGRC-311-312-1_LS3762980_SQ6100	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762980	PMGRC-311-312-1_LS3762980_SQ6100	NA	genome
PMGRC-312-312-0_LS3762981_SQ6101	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762981	PMGRC-312-312-0_LS3762981_SQ6101	NA	genome
PMGRC-302-302-0_LS3762982_SQ6102	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762982	PMGRC-302-302-0_LS3762982_SQ6102	NA	genome
PMGRC-297-296-2_LS3762983_SQ6103	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-07-29	LS3762983	PMGRC-297-296-2_LS3762983_SQ6103	NA	genome
