aligned_rna_short_read_id	aligned_rna_short_read_index_file	alignment_log_file	mean_coverage	reference_assembly	gene_annotation_details	reference_assembly_details	percent_multimapped	alignment_software	experiment_rna_short_read_id	gene_annotation	md5sum	percent_uniquely_aligned	quality_issues	reference_assembly_uri	aligned_rna_short_read_file	percent_unaligned	alignment_postprocessing
PMGRC-32-32-0_LS4339087_SQ8357_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-32-32-0_LS4339087_SQ8357_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8357	GENCODEv41	098db7fb9dbd2d2cf8dd9bda6c5243de	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-32-32-0_LS4339087_SQ8357_RNA.cram	NA	NA
PMGRC-31-32-2_LS4339088_SQ8358_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-31-32-2_LS4339088_SQ8358_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8358	GENCODEv41	69a0df535695fe5bf75344830bc9d320	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-31-32-2_LS4339088_SQ8358_RNA.cram	NA	NA
PMGRC-209-209-0_LS4339089_SQ8359_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-209-209-0_LS4339089_SQ8359_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8359	GENCODEv41	8ebd954a664b66506bc49f74a59aa393	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-209-209-0_LS4339089_SQ8359_RNA.cram	NA	NA
PMGRC-115-114-1_LS4339090_SQ8360_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-115-114-1_LS4339090_SQ8360_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8360	GENCODEv41	ca65d92b7038f7002d3370e4bb01aab0	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-115-114-1_LS4339090_SQ8360_RNA.cram	NA	NA
PMGRC-114-114-0_LS4339091_SQ8361_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-114-114-0_LS4339091_SQ8361_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8361	GENCODEv41	a7dfed186556f2297ce71699d042bd92	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-114-114-0_LS4339091_SQ8361_RNA.cram	NA	NA
PMGRC-113-114-2_LS4339092_SQ8362_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-113-114-2_LS4339092_SQ8362_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8362	GENCODEv41	fa45cc21d5ab68c83ea04bdab845bf1e	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-113-114-2_LS4339092_SQ8362_RNA.cram	NA	NA
PMGRC-105-106-2_LS4339093_SQ8363_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-105-106-2_LS4339093_SQ8363_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8363	GENCODEv41	23db4abd32e363b0fc5ecbb0171f7ace	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-105-106-2_LS4339093_SQ8363_RNA.cram	NA	NA
PMGRC-103-106-1_LS4339094_SQ9314_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-103-106-1_LS4339094_SQ9314_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ9314	GENCODEv41	1beb9f789410b48358a1ecab5568ed61	NA	low read count	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-103-106-1_LS4339094_SQ9314_RNA.cram	NA	NA
PMGRC-125-125-0_LS4339095_SQ6059_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-125-125-0_LS4339095_SQ6059_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ6059	GENCODEv41	df1fe166c4d32df865dffa9cae00b8b1	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-125-125-0_LS4339095_SQ6059_RNA.cram	NA	NA
PMGRC-117-116-2_LS4339096_SQ8365_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-117-116-2_LS4339096_SQ8365_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8365	GENCODEv41	d2426e114acc38657fc1969fe5ba311f	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-117-116-2_LS4339096_SQ8365_RNA.cram	NA	NA
PMGRC-137-137-0_LS4339097_SQ8366_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-137-137-0_LS4339097_SQ8366_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8366	GENCODEv41	03ed8ec66c45c1cbe30d3fde3f87b79b	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-137-137-0_LS4339097_SQ8366_RNA.cram	NA	NA
PMGRC-12-11-2_LS4339098_SQ8367_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-12-11-2_LS4339098_SQ8367_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8367	GENCODEv41	e72e65c83fb37db795531d6ece4f24a2	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-12-11-2_LS4339098_SQ8367_RNA.cram	NA	NA
PMGRC-147-146-2_LS4339099_SQ8368_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-147-146-2_LS4339099_SQ8368_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8368	GENCODEv41	90f18b7311be4812bafe4b5277ddec82	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-147-146-2_LS4339099_SQ8368_RNA.cram	NA	NA
PMGRC-146-146-0_LS4339100_SQ8369_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-146-146-0_LS4339100_SQ8369_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8369	GENCODEv41	82a3fd70325220014a73cb80859e7c5c	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-146-146-0_LS4339100_SQ8369_RNA.cram	NA	NA
PMGRC-157-146-1_LS4339101_SQ8370_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-157-146-1_LS4339101_SQ8370_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8370	GENCODEv41	e4b5558d9471d419065f9a35ca7225df	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-157-146-1_LS4339101_SQ8370_RNA.cram	NA	NA
PMGRC-86-86-0_LS4339102_SQ8371_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-86-86-0_LS4339102_SQ8371_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8371	GENCODEv41	b5a2cb59b2d99d3f08d22408d39dcb8e	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-86-86-0_LS4339102_SQ8371_RNA.cram	NA	NA
PMGRC-85-86-1_LS4339103_SQ8372_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-85-86-1_LS4339103_SQ8372_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8372	GENCODEv41	2638a5a2b7907858dc0e056f19559207	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-85-86-1_LS4339103_SQ8372_RNA.cram	NA	NA
PMGRC-126-125-2_LS4339104_SQ8373_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-126-125-2_LS4339104_SQ8373_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8373	GENCODEv41	1c5c93034f8295c13634c33f69bb2406	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-126-125-2_LS4339104_SQ8373_RNA.cram	NA	NA
PMGRC-80-86-2_LS4339105_SQ8374_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-80-86-2_LS4339105_SQ8374_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8374	GENCODEv41	57dbe0017c8627160c2dde05240de23c	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-80-86-2_LS4339105_SQ8374_RNA.cram	NA	NA
PMGRC-132-131-2_LS4339106_SQ8375_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-132-131-2_LS4339106_SQ8375_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8375	GENCODEv41	f9a3ee77f52210b3c0927feff2895b55	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-132-131-2_LS4339106_SQ8375_RNA.cram	NA	NA
PMGRC-133-131-1_LS4339107_SQ8376_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-133-131-1_LS4339107_SQ8376_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8376	GENCODEv41	f9c946387a024a2af1742e85bdbd6f23	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-133-131-1_LS4339107_SQ8376_RNA.cram	NA	NA
PMGRC-4-3-2_LS4339108_SQ8377_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-4-3-2_LS4339108_SQ8377_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8377	GENCODEv41	895b7448f67b396f142ad2700c27bbc3	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-4-3-2_LS4339108_SQ8377_RNA.cram	NA	NA
PMGRC-43-43-0_LS4339109_SQ8378_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-43-43-0_LS4339109_SQ8378_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8378	GENCODEv41	9a139f3a9d83f7d07dde6abf6f8d53c7	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-43-43-0_LS4339109_SQ8378_RNA.cram	NA	NA
PMGRC-70-68-1_LS4339110_SQ8379_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-70-68-1_LS4339110_SQ8379_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8379	GENCODEv41	f69e032a1aaba347d67f0d199819e87f	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-70-68-1_LS4339110_SQ8379_RNA.cram	NA	NA
PMGRC-139-11-1_LS4339111_SQ8380_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-139-11-1_LS4339111_SQ8380_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8380	GENCODEv41	18e3794a5941e8f9aabd8d3441c47bb7	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-139-11-1_LS4339111_SQ8380_RNA.cram	NA	NA
PMGRC-3-3-0_LS4339112_SQ8381_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-3-3-0_LS4339112_SQ8381_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8381	GENCODEv41	6f978efd204b9f0605b8bf1e19c7aa01	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-3-3-0_LS4339112_SQ8381_RNA.cram	NA	NA
PMGRC-44-43-2_LS4339113_SQ8382_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-44-43-2_LS4339113_SQ8382_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8382	GENCODEv41	84c68a0950659d7f439d9dae477ed81a	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-44-43-2_LS4339113_SQ8382_RNA.cram	NA	NA
PMGRC-7-5-2_LS4339115_SQ8384_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-7-5-2_LS4339115_SQ8384_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8384	GENCODEv41	c6b624ed9c5af78eaf87b84a64f2c805	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-7-5-2_LS4339115_SQ8384_RNA.cram	NA	NA
PMGRC-45-43-1_LS4339114_SQ9315_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-45-43-1_LS4339114_SQ9315_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ9315	GENCODEv41	d87a7026d06dba3e710a06cba554af99	NA	poor RIN, low read count	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-45-43-1_LS4339114_SQ9315_RNA.cram	NA	NA
PMGRC-7-5-2_LS4339115_SQ9316_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-7-5-2_LS4339115_SQ9316_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ9316	GENCODEv41	e6fbce916a10a0a62d70b7fe5f28bb4d	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-7-5-2_LS4339115_SQ9316_RNA.cram	NA	NA
PMGRC-106-106-0_LS4339116_SQ8385_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-106-106-0_LS4339116_SQ8385_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8385	GENCODEv41	667af9200b666abab84ae98aed45b4fe	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-106-106-0_LS4339116_SQ8385_RNA.cram	NA	NA
PMGRC-84-82-1_LS4339117_SQ8386_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-84-82-1_LS4339117_SQ8386_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8386	GENCODEv41	9fb9a8f78fd93ef22a196adc8e4cda18	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-84-82-1_LS4339117_SQ8386_RNA.cram	NA	NA
PMGRC-107-107-0_LS4339118_SQ9302_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-107-107-0_LS4339118_SQ9302_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ9302	GENCODEv41	c05c9516fdb5ad452c7babef4b9f54c7	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-107-107-0_LS4339118_SQ9302_RNA.cram	NA	NA
PMGRC-265-265-0_LS4339119_SQ9303_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-265-265-0_LS4339119_SQ9303_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ9303	GENCODEv41	b3077973e57bf3df2755cafdc30d409e	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-265-265-0_LS4339119_SQ9303_RNA.cram	NA	NA
PMGRC-205-205-0_LS4339120_SQ11672_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-205-205-0_LS4339120_SQ11672_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11672	GENCODEv41	60bef6b084e44432aedc9dfa4ab0b911	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-205-205-0_LS4339120_SQ11672_RNA.cram	NA	NA
PMGRC-240-240-0_LS4339121_SQ6038_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-240-240-0_LS4339121_SQ6038_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ6038	GENCODEv41	3841acee0c66393dbc71a5b66a8f6304	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-240-240-0_LS4339121_SQ6038_RNA.cram	NA	NA
PMGRC-122-122-0_LS4339122_SQ6039_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-122-122-0_LS4339122_SQ6039_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ6039	GENCODEv41	839205ea0edaf4385af40c0c52683797	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-122-122-0_LS4339122_SQ6039_RNA.cram	NA	NA
PMGRC-123-122-1_LS4339123_SQ6040_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-123-122-1_LS4339123_SQ6040_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ6040	GENCODEv41	d156e4197e7155a0787aa967613f8ec0	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-123-122-1_LS4339123_SQ6040_RNA.cram	NA	NA
PMGRC-239-239-0_LS4339124_SQ6041_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-239-239-0_LS4339124_SQ6041_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ6041	GENCODEv41	7a43702e1148e3aac8bb037ff96cdfd3	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-239-239-0_LS4339124_SQ6041_RNA.cram	NA	NA
PMGRC-285-284-1_LS4339125_SQ6042_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-285-284-1_LS4339125_SQ6042_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ6042	GENCODEv41	3feb1d751e2b1c06137077ca9a4673ad	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-285-284-1_LS4339125_SQ6042_RNA.cram	NA	NA
