aligned_dna_short_read_id	aligned_dna_short_read_file	md5sum	quality_issues	experiment_dna_short_read_id	reference_assembly	analysis_details	reference_assembly_details	alignment_software	reference_assembly_uri	mean_coverage	aligned_dna_short_read_index_file
PMGRC-124-124-0_LS4073428_SQ6082_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-124-124-0_LS4073428_SQ6082.cram	760c9aa7a700ba4164b35960862b140e	NA	PMGRC-124-124-0_LS4073428_SQ6082	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	50.6	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-124-124-0_LS4073428_SQ6082.crai
PMGRC-126-125-2_LS3516174_SQ6126_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-126-125-2_LS3516174_SQ6126.cram	9cb34714d9f9914a50cee52715dfd764	NA	PMGRC-126-125-2_LS3516174_SQ6126	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	45.7	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-126-125-2_LS3516174_SQ6126.crai
PMGRC-127-125-1_LS3516162_SQ6096_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-127-125-1_LS3516162_SQ6096.cram	169cd945848b2483fd0d49c954b013d2	NA	PMGRC-127-125-1_LS3516162_SQ6096	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	27.8	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-127-125-1_LS3516162_SQ6096.crai
PMGRC-128-116-1_LS3516215_SQ6053_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-128-116-1_LS3516215_SQ6053.cram	4856dcb19da729c2a6edf64046c134ed	NA	PMGRC-128-116-1_LS3516215_SQ6053	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	38.2	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-128-116-1_LS3516215_SQ6053.crai
PMGRC-130-130-0_LS3516168_SQ6102_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-130-130-0_LS3516168_SQ6102.cram	ece484fc293fc7c03cf4f16f2926bd95	NA	PMGRC-130-130-0_LS3516168_SQ6102	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	40.2	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-130-130-0_LS3516168_SQ6102.crai
PMGRC-131-131-0_LS3516176_SQ6062_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-131-131-0_LS3516176_SQ6062.cram	d16ea7c8c62a325953532bfe96de0f26	NA	PMGRC-131-131-0_LS3516176_SQ6062	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	35.1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-131-131-0_LS3516176_SQ6062.crai
PMGRC-13-13-0_LS3516194_SQ6080_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-13-13-0_LS3516194_SQ6080.cram	71311e2900ac3d1b87c7a52f1bb2e46a	NA	PMGRC-13-13-0_LS3516194_SQ6080	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	36.2	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-13-13-0_LS3516194_SQ6080.crai
PMGRC-132-131-2_LS3516177_SQ6063_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-132-131-2_LS3516177_SQ6063.cram	560ba3c406fc174a41c4d62f147d8724	NA	PMGRC-132-131-2_LS3516177_SQ6063	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	49.8	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-132-131-2_LS3516177_SQ6063.crai
PMGRC-133-131-1_LS3516178_SQ6064_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-133-131-1_LS3516178_SQ6064.cram	8823b1d408b68a799fdbb14394f57ed3	NA	PMGRC-133-131-1_LS3516178_SQ6064	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	39	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-133-131-1_LS3516178_SQ6064.crai
PMGRC-135-107-1_LS3516219_SQ6057_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-135-107-1_LS3516219_SQ6057.cram	bbacadc34bca3f23b42bda1ec669311a	NA	PMGRC-135-107-1_LS3516219_SQ6057	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	33.2	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-135-107-1_LS3516219_SQ6057.crai
PMGRC-137-137-0_LS3516163_SQ6097_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-137-137-0_LS3516163_SQ6097.cram	e1087b2e9654205ede45b2a64291d18c	NA	PMGRC-137-137-0_LS3516163_SQ6097	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	33.5	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-137-137-0_LS3516163_SQ6097.crai
PMGRC-139-11-1_LS3516166_SQ6100_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-139-11-1_LS3516166_SQ6100.cram	621cf3bd6ebaa83c84b7cba192c4e150	NA	PMGRC-139-11-1_LS3516166_SQ6100	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	37.8	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-139-11-1_LS3516166_SQ6100.crai
PMGRC-146-146-0_LS3516170_SQ6104_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-146-146-0_LS3516170_SQ6104.cram	264c88e9ae42b0f362130fd710fa5b7f	NA	PMGRC-146-146-0_LS3516170_SQ6104	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	34.8	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-146-146-0_LS3516170_SQ6104.crai
PMGRC-147-146-2_LS3516169_SQ6103_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-147-146-2_LS3516169_SQ6103.cram	5d555979878300cc49cbee1e0686b23c	NA	PMGRC-147-146-2_LS3516169_SQ6103	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	36.3	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-147-146-2_LS3516169_SQ6103.crai
PMGRC-148-148-0_LS3516190_SQ6076_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-148-148-0_LS3516190_SQ6076.cram	b8a91aaa8972029f133571b1611b3330	NA	PMGRC-148-148-0_LS3516190_SQ6076	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	30.3	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-148-148-0_LS3516190_SQ6076.crai
PMGRC-149-148-2_LS3516188_SQ6074_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-149-148-2_LS3516188_SQ6074.cram	36e100396eaf192daccd716e05090eec	NA	PMGRC-149-148-2_LS3516188_SQ6074	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	32.4	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-149-148-2_LS3516188_SQ6074.crai
PMGRC-150-148-1_LS3516189_SQ6075_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-150-148-1_LS3516189_SQ6075.cram	2ff53dbcf997223cc72589a0c381fb21	NA	PMGRC-150-148-1_LS3516189_SQ6075	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	45	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-150-148-1_LS3516189_SQ6075.crai
PMGRC-157-146-1_LS3516171_SQ6105_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-157-146-1_LS3516171_SQ6105.cram	7220d16fec926b37c8a15307932fe405	NA	PMGRC-157-146-1_LS3516171_SQ6105	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	49.7	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-157-146-1_LS3516171_SQ6105.crai
PMGRC-161-161-0_LS4073343_SQ6117_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-161-161-0_LS4073343_SQ6117.cram	31cbe4e6c3a0275444249ed6e4a4cd8f	NA	PMGRC-161-161-0_LS4073343_SQ6117	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	45.7	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-161-161-0_LS4073343_SQ6117.crai
PMGRC-162-161-2_LS4073341_SQ6115_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-162-161-2_LS4073341_SQ6115.cram	a5899447f1d43e3bb93e41121cf10480	NA	PMGRC-162-161-2_LS4073341_SQ6115	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	59.8	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-162-161-2_LS4073341_SQ6115.crai
PMGRC-163-161-1_LS4073344_SQ6118_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-163-161-1_LS4073344_SQ6118.cram	0b4ae1f2d91e89438511443532be66a3	NA	PMGRC-163-161-1_LS4073344_SQ6118	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	38.9	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-163-161-1_LS4073344_SQ6118.crai
PMGRC-164-164-0_LS3516199_SQ6037_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-164-164-0_LS3516199_SQ6037.cram	6b72332f4d61f95483e1f9b049292042	NA	PMGRC-164-164-0_LS3516199_SQ6037	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	27.5	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-164-164-0_LS3516199_SQ6037.crai
PMGRC-165-164-2_LS3516200_SQ6038_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-165-164-2_LS3516200_SQ6038.cram	61d4eb19dc9d97e61ee60ad2bfb5a95d	NA	PMGRC-165-164-2_LS3516200_SQ6038	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	37.2	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-165-164-2_LS3516200_SQ6038.crai
PMGRC-166-164-1_LS3516195_SQ6081_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-166-164-1_LS3516195_SQ6081.cram	743490aea51133d6aedd588167461d99	NA	PMGRC-166-164-1_LS3516195_SQ6081	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	45.1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-166-164-1_LS3516195_SQ6081.crai
PMGRC-167-167-0_LS3516193_SQ6079_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-167-167-0_LS3516193_SQ6079.cram	0c24ba7a3c59923274ce8257f13c4493	NA	PMGRC-167-167-0_LS3516193_SQ6079	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	32.3	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-167-167-0_LS3516193_SQ6079.crai
PMGRC-168-167-2_LS3516191_SQ6077_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-168-167-2_LS3516191_SQ6077.cram	1965e730615e93269c7170c1974b5bb9	NA	PMGRC-168-167-2_LS3516191_SQ6077	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	41.8	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-168-167-2_LS3516191_SQ6077.crai
PMGRC-169-167-1_LS3516192_SQ6078_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-169-167-1_LS3516192_SQ6078.cram	064c239bda661eac3383b47cb5df7f3f	NA	PMGRC-169-167-1_LS3516192_SQ6078	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	32.3	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-169-167-1_LS3516192_SQ6078.crai
PMGRC-170-170-0_LS3762985_SQ6105_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-170-170-0_LS3762985_SQ6105.cram	2fd669eee02f670a3ef890f4c6d1cb63	NA	PMGRC-170-170-0_LS3762985_SQ6105	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	46.1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-170-170-0_LS3762985_SQ6105.crai
PMGRC-171-170-1_LS4073349_SQ6123_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-171-170-1_LS4073349_SQ6123.cram	c28a036164c2c0f4c9d630a293a41450	NA	PMGRC-171-170-1_LS4073349_SQ6123	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	36	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-171-170-1_LS4073349_SQ6123.crai
PMGRC-172-170-2_LS4073350_SQ6124_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-172-170-2_LS4073350_SQ6124.cram	539a858321c48ea18f806c4c666cdfd4	NA	PMGRC-172-170-2_LS4073350_SQ6124	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	40.9	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-172-170-2_LS4073350_SQ6124.crai
